title;start;CES_parameters;slurmConfig;optimization;c_testOneRegi_region;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;cm_co2_tax_2020;cm_peakBudgYr;cm_taxCO2inc_after_peakBudgYr;cm_CO2priceRegConvEndYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;cm_fetaxscen;cm_co2_tax_growth;trade;cm_import_EU;cm_bioenergy_SustTax;cm_maxProdBiolc;cm_bioprod_regi_lim;cm_import_tax;c_ccsinjecratescen;c_ccscapratescen;c_agricult_base_shift;cm_CESMkup_build;cm_CESMkup_ind;cm_adj_coeff_multiplier;cm_adj_seed_multiplier;techpol;regipol;cm_emiMktTarget;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;cm_POPscen;cm_GDPscen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecostBio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;water;cm_EDGEtr_scen;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_refpolicycost;description
SSP1-Base_tOR_CAZ;0;load;8;testOneRegi;CAZ;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;;;;;
SSP1-Base_tOR_CHA;0;load;8;testOneRegi;CHA;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;SSP1-Base_tOR_CAZ;;;;
SSP1-Base_tOR_EUR;0;load;8;testOneRegi;EUR;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;SSP1-Base_tOR_CHA;;;;
SSP1-Base_tOR_IND;0;load;8;testOneRegi;IND;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;SSP1-Base_tOR_EUR;;;;
SSP1-Base_tOR_JPN;0;load;8;testOneRegi;JPN;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;SSP1-Base_tOR_IND;;;;
SSP1-Base_tOR_LAM;0;load;8;testOneRegi;LAM;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;SSP1-Base_tOR_JPN;;;;
SSP1-Base_tOR_MEA;0;load;8;testOneRegi;MEA;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;SSP1-Base_tOR_LAM;;;;
SSP1-Base_tOR_NEU;0;load;8;testOneRegi;NEU;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;SSP1-Base_tOR_MEA;;;;
SSP1-Base_tOR_OAS;0;load;8;testOneRegi;OAS;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;SSP1-Base_tOR_NEU;;;;
SSP1-Base_tOR_REF;0;load;8;testOneRegi;REF;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;SSP1-Base_tOR_OAS;;;;
SSP1-Base_tOR_SSA;0;load;8;testOneRegi;SSA;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;SSP1-Base_tOR_REF;;;;
SSP1-Base_tOR_USA;0;load;8;testOneRegi;USA;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;2;1.025;standard;off;1.75;off;off;off;2;1;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP1;gdp_SSP1;gdp_SSP1;lowOil;lowGas;lowCoal;2;2;4;2;SSP1;0.5;1;forcing_SSP1;SSP1;heat;Mix1;2005;SSP1-Base_tOR_SSA;;;;
